year,month,date,Season,dataSeason,company,track,volume_origin,volume_desc,volume,origin_round,round
2016,Jul,Jul-16,Q3,2016 Q3,知子花,Paid Knowledge,1500,1500,1500,Pre-A,Pre-A
2017,Sep,Sep-17,Q3,2017 Q3,职行力,Vocational Edu.,2000,2000,2000,A,A
2016,Oct,Oct-16,Q4,2016 Q4,职派,Higher Edu.,200,200,200,Seed/Angel,Seed/Angel
2015,Aug,Aug-15,Q3,2015 Q3,职学帮,K12,200,200,200,Seed/Angel,Seed/Angel
2014,Dec,Dec-14,Q4,2014 Q4,职业梦,Vocational Edu.,1300,1300,1300,A,A
2016,Jul,Jul-16,Q3,2016 Q3,职业蛙,Vocational Edu.,1200,1200,1200,A,A
2017,May,May-17,Q2,2017 Q2,职业蛙,Vocational Edu.,2000,2000,2000,B,B
2018,Mar,Mar-18,Q1,2018 Q1,职优你,Vocational Edu.,0,0,30000,C,C
2016,Jan,Jan-16,Q1,2016 Q1,致优教育,K12,6000,6000,6000,A,A
2018,May,May-18,Q2,2018 Q2,智豆,Vocational Edu.,2000,2000,2000,Seed/Angel,Seed/Angel
2015,Aug,Aug-15,Q3,2015 Q3,智慧流,K12,20,20,20,Seed/Angel,Seed/Angel
2018,Feb,Feb-18,Q1,2018 Q1,智慧喵,STEM,200,200,200,Seed/Angel,Seed/Angel
2014,Sep,Sep-14,Q3,2014 Q3,智慧树,Early Childhood Edu.,1500万人民币,1500,1500,A,A
2015,Nov,Nov-15,Q4,2015 Q4,智慧树,Early Childhood Edu.,1亿人民币,10000,10000,B,B
2016,Oct,Oct-16,Q4,2016 Q4,智慧树,Early Childhood Edu.,1.95亿人民币,19500,19500,Strategic Investment,Strategic Investment
2017,Jun,Jun-17,Q2,2017 Q2,智慧树,Early Childhood Edu.,1.5亿人民币,15000,15000,Strategic Investment,Strategic Investment
2018,Feb,Feb-18,Q1,2018 Q1,智慧树,Early Childhood Edu.,7亿人民币,70000,70000,Strategic Investment,Strategic Investment
2018,Sep,Sep-18,Q3,2018 Q3,智慧树,Early Childhood Edu.,2.22亿人民币,22200,22200,Strategic Investment,Strategic Investment
2014,Aug,Aug-14,Q3,2014 Q3,智课网,Language Learning,6890,6890,6890,A,A
2018,Mar,Mar-18,Q1,2018 Q1,智童时光,Early Childhood Edu.,0,0,4000,A,A
